"Alpha Group","Mint/NFT Cost (ETH)","Mint/NFT Cost ($)","Gas Fee (ETH)","Gas Fees ($)","Listing Fee Total (ETH)","Listing Fee Total ($)","Cost of Trade (ETH)","Sell Price (ETH)",Breakeven,"OS Fee","Royalty Fee","Total Fees (ETH)","Initial + Fee (ETH)","Eth Expect to Receive",Wallet,Transfer_Updated,Method_Updated,Profit/Loss,Date_Updated
NP,0.069,$261.55,0.0099,$37.55,0.0305,$116.82,0.1094,0.1140,0.1164,2.5%,3.5%,0.0473,0.1163,0.1072,Main,NO,Mint,-0.0023,2022-01-02
NP,0.069,$261.55,0.0099,$37.55,0,$0.00,0.0789,0.1230,0.0839,2.5%,3.5%,0.0173,0.0863,0.1156,Main,NO,Mint,0.0367,2022-01-02
NP,0.02,$24.35,0.003,$3.61,0.0009,$1.11,0.0238,0.0730,0.0258,2.5%,5.0%,0.0093,0.0293,0.0675,Main,NO,Mint,0.0437,2022-01-02
NP,0.02,$24.35,0.003,$3.61,0,$0.00,0.023,0.1190,0.0248,2.5%,5.0%,0.0119,0.0319,0.1101,Main,NO,Mint,0.0871,2022-01-02
TW,0,$0.00,0.0019,$2.36,0.001,$1.21,0.0029,,0.003,2.5%,0.0%,0.0029,0.0029,0,Main,"Transfer Sent",Mint,-0.0029,2022-01-02
NP,0.025,$30.35,0.0041,$4.99,0.0008,$0.93,0.0299,0.0480,0.0306,2.5%,0.0%,0.0061,0.0311,0.0468,Main,NO,Secondary,0.0169,2022-01-02
WP,0.05,$60.89,0.0008,$0.96,0.0011,$1.28,0.0518,0.0780,0.0532,2.5%,0.0%,0.0038,0.0538,0.0761,Ledger,NO,Mint,0.0242,2022-01-02
WP,0.05,$60.89,0.0008,$0.96,0,$0.00,0.0508,0.0890,0.0521,2.5%,0.0%,0.003,0.053,0.0868,Ledger,NO,Mint,0.0360,2022-01-02
WP,0,$0.00,0.0021,$2.57,0,$0.00,0.0021,,0.0023,2.5%,6.9%,0.0021,0.0021,0,Ledger,NO,Mint,-0.0021,2022-01-02
TW,0,$0.00,0.0019,$2.36,0.001,$1.21,0.0029,,0.003,2.5%,0.0%,0.0029,0.0029,0,Ledger,"Transfer Received",Mint,-0.0029,2022-01-02
TW,0,$0.00,0.0018,$2.23,0.0007,$0.90,0.0025,,0.0026,2.5%,0.0%,0.0025,0.0025,0,Ledger,"Transfer Received",Mint,-0.0025,2022-01-02
TW,0,$0.00,0.0018,$2.23,0.0007,$0.90,0.0025,,0.0026,2.5%,0.0%,0.0025,0.0025,0,Burner,NO,Mint,-0.0025,2022-01-02
AS,0,$0.00,0.0028,$3.39,0,$0.00,0.0028,,0.0031,2.5%,7.5%,0.0028,0.0028,0,Main,NO,Mint,-0.0028,2022-01-03
WP,0.0066,$7.99,0.0022,$2.68,0.001,$1.25,0.0098,0.0134,0.0101,2.5%,0.0%,0.0035,0.0101,0.0131,Main,NO,Mint,0.0033,2022-01-03
NP,0,$0.00,0.002,$2.36,0,$0.00,0.002,,0.0022,2.5%,10.0%,0.002,0.002,0,Ledger,NO,Mint,-0.0020,2022-01-03
AS,0,$0.00,0.0033,$3.94,0,$0.00,0.0033,,0.0036,2.5%,7.5%,0.0033,0.0033,0,Burner,NO,Mint,-0.0033,2022-01-03
WP,0.0071,$8.95,0.0034,$4.29,0.0014,$1.73,0.0119,0.0280,0.0122,2.5%,0.0%,0.0055,0.0126,0.0273,Main,NO,Mint,0.0154,2022-01-04
WP,0.0071,$8.95,0.0034,$4.29,0,$0.00,0.0105,0.0480,0.0108,2.5%,0.0%,0.0046,0.0117,0.0468,Main,NO,Mint,0.0363,2022-01-04
WP,0.0071,$8.95,0.0034,$4.29,0,$0.00,0.0105,0.0720,0.0108,2.5%,0.0%,0.0052,0.0123,0.0702,Main,NO,Mint,0.0597,2022-01-04
WP,0.0071,$8.95,0.0034,$4.29,0,$0.00,0.0105,0.0930,0.0108,2.5%,0.0%,0.0057,0.0129,0.0907,Main,NO,Mint,0.0801,2022-01-04
NP,0.003,$3.77,0.0006,$0.80,0.0011,$1.35,0.0047,,0.0052,2.5%,7.0%,0.0017,0.0047,0,Ledger,NO,Mint,-0.0047,2022-01-04
