Date,NFT Name,ITEM ,Method,Alpha Group,Mint/NFT Cost (ETH),Mint/NFT Cost ($),Gas Fee (ETH),Gas Fees ($),Listing Fee Total (ETH),Listing Fee Total ($),Cost of Trade (ETH),Sell Price (ETH),Breakeven,OS Fee,Royalty Fee,Total Fees (ETH),Initial + Fee (ETH),Eth Expect to Receive,Location,Type,Wallet,Transfer?
01/02/2022,,9268,Mint,NP,0.0690,$261.55,0.0099,$37.55,0.0305,$116.82,0.1094,0.1140,0.1164,2.5%,3.5%,0.0473,0.1163,0.1072,MM Wallet,NFT,Old Wallet,NO
01/02/2022,,9269,Mint,NP,0.0690,$261.55,0.0099,$37.55,0.0000,$0.00,0.0789,0.1230,0.0839,2.5%,3.5%,0.0173,0.0863,0.1156,MM Wallet,NFT,Old Wallet,NO
01/02/2022,,44,Mint,NP,0.0200,$24.35,0.0030,$3.61,0.0009,$1.11,0.0238,0.0730,0.0258,2.5%,5.0%,0.0093,0.0293,0.0675,MM Wallet,NFT,Old Wallet,NO
01/02/2022,,45,Mint,NP,0.0200,$24.35,0.0030,$3.61,0.0000,$0.00,0.0230,0.1190,0.0248,2.5%,5.0%,0.0119,0.0319,0.1101,MM Wallet,NFT,Old Wallet,NO
01/02/2022,,1,Mint,TW,0.0000,$0.00,0.0019,$2.36,0.0010,$1.21,0.0029,,0.0030,2.5%,0.0%,0.0029,0.0029,0.0000,MM Wallet,NFT,Old Wallet,Transfer Sent
01/02/2022,,188,Secondary,NP,0.0250,$30.35,0.0041,$4.99,0.0008,$0.93,0.0299,0.0480,0.0306,2.5%,0.0%,0.0061,0.0311,0.0468,MM Wallet,NFT,Old Wallet,NO
01/02/2022,,1777,Mint,WP,0.0500,$60.89,0.0008,$0.96,0.0011,$1.28,0.0518,0.0780,0.0532,2.5%,0.0%,0.0038,0.0538,0.0761,MM Wallet,NFT,Ledger,
01/02/2022,,1776,Mint,WP,0.0500,$60.89,0.0008,$0.96,0.0000,$0.00,0.0508,0.0890,0.0521,2.5%,0.0%,0.0030,0.0530,0.0868,MM Wallet,NFT,Ledger,
01/02/2022,,1,Mint,WP,0.0000,$0.00,0.0021,$2.57,0.0000,$0.00,0.0021,,0.0023,2.5%,6.9%,0.0021,0.0021,0.0000,MM Wallet,NFT,Ledger,
01/02/2022,,1,Mint,TW,0.0000,$0.00,0.0019,$2.36,0.0010,$1.21,0.0029,,0.0030,2.5%,0.0%,0.0029,0.0029,0.0000,MM Wallet,NFT,Ledger,Transfer Received
01/02/2022,,1,Mint,TW,0.0000,$0.00,0.0018,$2.23,0.0007,$0.90,0.0025,,0.0026,2.5%,0.0%,0.0025,0.0025,0.0000,MM Wallet,NFT,Ledger,Transfer Received
01/02/2022,,1,Mint,TW,0.0000,$0.00,0.0018,$2.23,0.0007,$0.90,0.0025,,0.0026,2.5%,0.0%,0.0025,0.0025,0.0000,MM Wallet,NFT,Burner,NO
01/03/2022,,1338,Mint,AS,0.0000,$0.00,0.0028,$3.39,0.0000,$0.00,0.0028,,0.0031,2.5%,7.5%,0.0028,0.0028,0.0000,MM Wallet,NFT,Old Wallet,NO
01/03/2022,,2265,Mint,WP,0.0066,$7.99,0.0022,$2.68,0.0010,$1.25,0.0098,0.0134,0.0101,2.5%,0.0%,0.0035,0.0101,0.0131,MM Wallet,NFT,Old Wallet,NO
01/03/2022,,4,Mint,NP,0.0000,$0.00,0.0020,$2.36,0.0000,$0.00,0.0020,,0.0022,2.5%,10.0%,0.0020,0.0020,0.0000,MM Wallet,NFT,Ledger,
01/03/2022,,612,Mint,AS,0.0000,$0.00,0.0033,$3.94,0.0000,$0.00,0.0033,,0.0036,2.5%,7.5%,0.0033,0.0033,0.0000,MM Wallet,NFT,Burner,NO
01/04/2022,,939,Mint,WP,0.0071,$8.95,0.0034,$4.29,0.0014,$1.73,0.0119,0.0280,0.0122,2.5%,0.0%,0.0055,0.0126,0.0273,MM Wallet,NFT,Old Wallet,NO
01/04/2022,,473,Mint,WP,0.0071,$8.95,0.0034,$4.29,0.0000,$0.00,0.0105,0.0480,0.0108,2.5%,0.0%,0.0046,0.0117,0.0468,MM Wallet,NFT,Old Wallet,NO
01/04/2022,,467,Mint,WP,0.0071,$8.95,0.0034,$4.29,0.0000,$0.00,0.0105,0.0720,0.0108,2.5%,0.0%,0.0052,0.0123,0.0702,MM Wallet,NFT,Old Wallet,NO
01/04/2022,,427,Mint,WP,0.0071,$8.95,0.0034,$4.29,0.0000,$0.00,0.0105,0.0930,0.0108,2.5%,0.0%,0.0057,0.0129,0.0907,MM Wallet,NFT,Old Wallet,NO
01/04/2022,,2,Mint,NP,0.0030,$3.77,0.0006,$0.80,0.0011,$1.35,0.0047,,0.0052,2.5%,7.0%,0.0017,0.0047,0.0000,MM Wallet,NFT,Ledger,
01/04/2022,,2,Mint,NP,0.0030,$3.77,0.0006,$0.80,0.0000,$0.00,0.0036,,0.0040,2.5%,7.0%,0.0006,0.0036,0.0000,MM Wallet,NFT,Ledger,
01/04/2022,,2,Mint,NP,0.0030,$3.77,0.0006,$0.80,0.0000,$0.00,0.0036,,0.0040,2.5%,7.0%,0.0006,0.0036,0.0000,MM Wallet,NFT,Ledger,
01/04/2022,,2,Mint,NP,0.0030,$3.77,0.0006,$0.80,0.0000,$0.00,0.0036,,0.0040,2.5%,7.0%,0.0006,0.0036,0.0000,MM Wallet,NFT,Ledger,
01/04/2022,,4,Secondary,WP,0.0007,$0.86,0.0030,$3.76,0.0000,$0.00,0.0020,0.0000,0.0022,2.5%,10.0%,0.0020,0.0020,0.0000,MM Wallet,NFT,Ledger,
01/05/2022,,10,Secondary,NP,0.2570,$321.73,0.0034,$4.24,0.0010,$1.30,0.2614,,0.2695,2.5%,0.5%,0.0044,0.2614,0.0000,MM Wallet,NFT,Old Wallet,NO
